policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,4,big,data/instances/ilbb/test_instances/neos11.mps.gz,959,1062,53.4,0.0,infeasible,0,0,56.22076442837715,56.37782027000503
internal:relpscost,0,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,3671,4700,105.65,0.0,infeasible,138,0,112.68157890625298,112.72865225499845
internal:relpscost,1,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,3232,4120,99.72,0.0,infeasible,129,0,106.08625801838934,106.13632520400279
internal:relpscost,2,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,4026,5336,125.9,0.0,infeasible,259,0,133.89843938313425,133.96509013399918
internal:relpscost,3,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,3381,4256,100.63,0.0,infeasible,88,0,107.05476379580796,107.10694062499533
internal:relpscost,4,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,3200,3924,81.03,0.0,infeasible,111,0,86.56201627478004,86.60332819500036
gcnn:baseline,0,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,267838,250779,3600.0,0.27912169705991813,timelimit,0,0,3871.4299139212817,3904.146188323997
gcnn:baseline,1,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,12485,12247,154.68,0.0,infeasible,0,0,166.53144459985197,168.0001594830028
gcnn:baseline,2,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,13331,12585,143.2,0.0,infeasible,0,0,154.88619865477085,156.48333238000487
gcnn:baseline,3,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,24768,24368,292.57,0.0,infeasible,0,0,315.8231510464102,318.5908534609989
gcnn:baseline,4,big,data/instances/ilbb/test_instances/ns1830653.mps.gz,5654,5549,70.41,0.0,infeasible,0,0,75.94821078702807,76.60044347299845
internal:relpscost,0,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,25,154,5.42,0.0,infeasible,40,0,5.820739151909947,5.824017368999193
internal:relpscost,1,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,7,80,5.01,0.0,infeasible,10,0,5.3296333607286215,5.332673052005703
internal:relpscost,2,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,79,193,5.44,0.0,infeasible,31,0,5.813483413308859,5.816749518002325
internal:relpscost,3,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,9,114,6.04,0.0,infeasible,9,0,6.381810754537582,6.38542260399845
